Дейкстры
Тип графа;10;60;110;160;210;260;310;360;410;460;510;560;610;660;710;760;810;860;910;960;1010
Полные графы;29908;4694858;28803966;97365225;303026108;515166516;710620524;1053455416;1643998025;2371973491;3144807933;4113569333;5166906191;6673359067;8146023166;9966655575;12468007350;14919018941;17335143608;20219599733
Связные графы;12774;2048924;13788908;42965783;100373608;185886475;323371775;522193966;757688842;1039224825;1524934166;1969873974;2671209775;3289412841;4184838616;5092580092;6294380866;7626905592;8873729508;10557618700
Разреженные графы;9300;104150;290991;567991;943766;1383458;1929616;2560474;3276450;4093100;4991866;5979633;7063641;8269816;9484883;10847991;12267208;13760299;15383483;17074658
