Флойда-Уоршела
Тип графа;10;60;110;160;210;260;310;360;410;460;510;560;610;660;710;760;810;860;910;960;1010
Полные графы;28450;3399224;19754899;59579916;132428916;249004016;420143500;653137708;961134258;1353318099;1839074625;2430229033;3136175208;3968501983;4937863875;6044168158;7310165333;8743630758;10347559108;12364451391
Связные графы;34225;4655974;35160133;115040316;163725400;250191933;420638275;655872508;967091841;1359951766;1847623983;2440572733;3146993425;3982192466;4948116508;6060100158;7331653942;8764371283;10372744192;12167766266
Разреженные графы;21541;2499091;15598200;48630008;109271716;204847299;351316233;531986283;805019591;1147077275;1549703491;2062953883;2676169274;3359201283;4180775374;5156731191;6194958941;7453344900;8850995383;10420304049
