A-star
Тип графа;10;60;110;160;210;260;310;360;410;460;510;560;610;660;710;760;810;860;910;960;1010
Полные графы;15258;295383;1080558;1325666;6262950;5820424;9104591;6574533;10035750;12565075;8498375;18698616;28581133;21923975;30029741;29294875;33259808;43811916;34352574;54641316
Связные графы;7183;233183;481249;1328675;1571849;1121466;3297375;2737824;2763300;4383433;10078450;6586191;21052450;12958816;21786250;32520574;13675850;22159358;13487300;31477041
Разреженные графы;8983;34724;50566;66358;84108;99499;114866;132758;146924;161066;175191;194833;213367;222099;239158;251625;268800;280933;296466;311550
